Čas publikovania,Veková skupina,Vakcína,Dávka,Počet
2021-05-22 19:05:03,85-n,mRNA (Pfizer alebo Moderna),2,1960
2021-05-17 16:12:10,00-17,vektorová (Astrazeneca),2,26
2021-05-18 16:04:22,00-17,vektorová (Astrazeneca),2,26
2021-05-19 16:58:38,00-17,vektorová (Astrazeneca),2,21
2021-05-20 16:57:47,00-17,vektorová (Astrazeneca),2,19
2021-05-21 19:05:03,00-17,vektorová (Astrazeneca),2,19
2021-05-22 19:05:03,00-17,vektorová (Astrazeneca),2,19
2021-05-17 16:12:10,18-19,vektorová (Astrazeneca),2,1562
2021-05-18 16:04:22,18-19,vektorová (Astrazeneca),2,1568
2021-05-19 16:58:38,18-19,vektorová (Astrazeneca),2,1529
2021-05-20 16:57:47,18-19,vektorová (Astrazeneca),2,1510
2021-05-21 19:05:03,18-19,vektorová (Astrazeneca),2,1508
2021-05-22 19:05:03,18-19,vektorová (Astrazeneca),2,1495
2021-05-17 16:12:10,20-24,vektorová (Astrazeneca),2,5373
2021-05-18 16:04:22,20-24,vektorová (Astrazeneca),2,5390
2021-05-19 16:58:38,20-24,vektorová (Astrazeneca),2,5183
2021-05-20 16:57:47,20-24,vektorová (Astrazeneca),2,5133
2021-05-21 19:05:03,20-24,vektorová (Astrazeneca),2,5137
2021-05-22 19:05:03,20-24,vektorová (Astrazeneca),2,5134
2021-05-17 16:12:10,25-29,vektorová (Astrazeneca),2,6596
2021-05-18 16:04:22,25-29,vektorová (Astrazeneca),2,6619
2021-05-19 16:58:38,25-29,vektorová (Astrazeneca),2,6421
2021-05-20 16:57:47,25-29,vektorová (Astrazeneca),2,6360
2021-05-21 19:05:03,25-29,vektorová (Astrazeneca),2,6341
2021-05-22 19:05:03,25-29,vektorová (Astrazeneca),2,6318
2021-05-17 16:12:10,30-34,vektorová (Astrazeneca),2,10446
2021-05-18 16:04:22,30-34,vektorová (Astrazeneca),2,10494
2021-05-19 16:58:38,30-34,vektorová (Astrazeneca),2,10210
2021-05-20 16:57:47,30-34,vektorová (Astrazeneca),2,10098
2021-05-21 19:05:03,30-34,vektorová (Astrazeneca),2,10089
2021-05-22 19:05:03,30-34,vektorová (Astrazeneca),2,10048
2021-05-17 16:12:10,35-39,vektorová (Astrazeneca),2,13427
2021-05-18 16:04:22,35-39,vektorová (Astrazeneca),2,13625
2021-05-19 16:58:38,35-39,vektorová (Astrazeneca),2,13263
2021-05-20 16:57:47,35-39,vektorová (Astrazeneca),2,13094
2021-05-21 19:05:03,35-39,vektorová (Astrazeneca),2,13097
2021-05-22 19:05:03,35-39,vektorová (Astrazeneca),2,13054
2021-05-17 16:12:10,40-44,vektorová (Astrazeneca),2,32964
2021-05-18 16:04:22,40-44,vektorová (Astrazeneca),2,33215
2021-05-19 16:58:38,40-44,vektorová (Astrazeneca),2,32730
2021-05-20 16:57:47,40-44,vektorová (Astrazeneca),2,32523
2021-05-21 19:05:03,40-44,vektorová (Astrazeneca),2,32473
2021-05-22 19:05:03,40-44,vektorová (Astrazeneca),2,32392
2021-05-17 16:12:10,45-49,vektorová (Astrazeneca),2,49318
2021-05-18 16:04:22,45-49,vektorová (Astrazeneca),2,49715
2021-05-19 16:58:38,45-49,vektorová (Astrazeneca),2,49303
2021-05-20 16:57:47,45-49,vektorová (Astrazeneca),2,49086
2021-05-21 19:05:03,45-49,vektorová (Astrazeneca),2,49074
2021-05-22 19:05:03,45-49,vektorová (Astrazeneca),2,48884
2021-05-17 16:12:10,50-54,vektorová (Astrazeneca),2,45589
2021-05-18 16:04:22,50-54,vektorová (Astrazeneca),2,45704
2021-05-19 16:58:38,50-54,vektorová (Astrazeneca),2,45345
2021-05-20 16:57:47,50-54,vektorová (Astrazeneca),2,45140
2021-05-21 19:05:03,50-54,vektorová (Astrazeneca),2,45136
2021-05-22 19:05:03,50-54,vektorová (Astrazeneca),2,45014
2021-05-17 16:12:10,55-59,vektorová (Astrazeneca),2,57258
2021-05-18 16:04:22,55-59,vektorová (Astrazeneca),2,57347
2021-05-19 16:58:38,55-59,vektorová (Astrazeneca),2,56953
2021-05-20 16:57:47,55-59,vektorová (Astrazeneca),2,56638
2021-05-21 19:05:03,55-59,vektorová (Astrazeneca),2,56592
2021-05-22 19:05:03,55-59,vektorová (Astrazeneca),2,56455
2021-05-17 16:12:10,60-64,vektorová (Astrazeneca),2,34619
2021-05-18 16:04:22,60-64,vektorová (Astrazeneca),2,34618
2021-05-19 16:58:38,60-64,vektorová (Astrazeneca),2,22857
2021-05-20 16:57:47,60-64,vektorová (Astrazeneca),2,19424
2021-05-21 19:05:03,60-64,vektorová (Astrazeneca),2,19340
2021-05-22 19:05:03,60-64,vektorová (Astrazeneca),2,19674
2021-05-17 16:12:10,65-69,vektorová (Astrazeneca),2,41059
2021-05-18 16:04:22,65-69,vektorová (Astrazeneca),2,41108
2021-05-19 16:58:38,65-69,vektorová (Astrazeneca),2,28267
2021-05-20 16:57:47,65-69,vektorová (Astrazeneca),2,21406
2021-05-21 19:05:03,65-69,vektorová (Astrazeneca),2,21131
2021-05-22 19:05:03,65-69,vektorová (Astrazeneca),2,21516
2021-05-17 16:12:10,70-74,vektorová (Astrazeneca),2,801
2021-05-18 16:04:22,70-74,vektorová (Astrazeneca),2,810
2021-05-19 16:58:38,70-74,vektorová (Astrazeneca),2,568
2021-05-20 16:57:47,70-74,vektorová (Astrazeneca),2,339
2021-05-21 19:05:03,70-74,vektorová (Astrazeneca),2,339
2021-05-22 19:05:03,70-74,vektorová (Astrazeneca),2,363
2021-05-17 16:12:10,75-79,vektorová (Astrazeneca),2,2
2021-05-18 16:04:22,75-79,vektorová (Astrazeneca),2,2
2021-05-19 16:58:38,75-79,vektorová (Astrazeneca),2,2
2021-05-20 16:57:47,75-79,vektorová (Astrazeneca),2,2
2021-05-21 19:05:03,75-79,vektorová (Astrazeneca),2,2
2021-05-22 19:05:03,75-79,vektorová (Astrazeneca),2,2
2021-05-17 16:12:10,80-84,vektorová (Astrazeneca),2,4
2021-05-18 16:04:22,80-84,vektorová (Astrazeneca),2,4
2021-05-19 16:58:38,80-84,vektorová (Astrazeneca),2,3
2021-05-20 16:57:47,80-84,vektorová (Astrazeneca),2,3
2021-05-21 19:05:03,80-84,vektorová (Astrazeneca),2,3
2021-05-22 19:05:03,80-84,vektorová (Astrazeneca),2,3
2021-05-17 16:12:10,85-n,vektorová (Astrazeneca),2,41
2021-05-18 16:04:22,85-n,vektorová (Astrazeneca),2,41
2021-05-19 16:58:38,85-n,vektorová (Astrazeneca),2,35
2021-05-20 16:57:47,85-n,vektorová (Astrazeneca),2,33
2021-05-21 19:05:03,85-n,vektorová (Astrazeneca),2,35
2021-05-22 19:05:03,85-n,vektorová (Astrazeneca),2,34
