Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
1,50-54,2021-05-24 19:05:03,2140.9999999999964
1,55-59,2021-05-24 19:05:03,1861.499999999999
1,60-64,2021-05-24 19:05:03,1244.9666666666647
1,65-69,2021-05-24 19:05:03,511.99999999999983
1,70-74,2021-05-24 19:05:03,205.3
1,75-79,2021-05-24 19:05:03,73.99999999999994
1,80-84,2021-05-24 19:05:03,42.0
1,85-n,2021-05-24 19:05:03,23.99999999999999
2,00-17,2021-05-24 19:05:03,3604.499999999995
2,18-19,2021-05-24 19:05:03,7581.279761904841
2,20-24,2021-05-24 19:05:03,19618.208333333936
2,25-29,2021-05-24 19:05:03,23171.192704517798
2,30-34,2021-05-24 19:05:03,37202.47853812897
2,35-39,2021-05-24 19:05:03,61782.80359477118
2,40-44,2021-05-24 19:05:03,84572.92602376394
2,45-49,2021-05-24 19:05:03,93860.01521801198
2,50-54,2021-05-24 19:05:03,86622.62824675224
2,55-59,2021-05-24 19:05:03,102466.9694472182
2,60-64,2021-05-24 19:05:03,77058.07853665896
2,65-69,2021-05-24 19:05:03,59348.909321233885
2,70-74,2021-05-24 19:05:03,14155.169841269913
2,75-79,2021-05-24 19:05:03,6587.516666666642
2,80-84,2021-05-24 19:05:03,3782.3333333333435
2,85-n,2021-05-24 19:05:03,2136.3333333333308
1,00-17,2021-05-25 19:05:03,13895.000000000056
1,18-19,2021-05-25 19:05:03,12373.666666666752
1,20-24,2021-05-25 19:05:03,31645.102380952463
1,25-29,2021-05-25 19:05:03,32379.690476190553
1,30-34,2021-05-25 19:05:03,30337.583333333216
1,35-39,2021-05-25 19:05:03,14871.958333333347
1,40-44,2021-05-25 19:05:03,9900.833333333341
1,45-49,2021-05-25 19:05:03,3615.500000000001
1,50-54,2021-05-25 19:05:03,1750.4999999999984
1,55-59,2021-05-25 19:05:03,1486.4999999999995
1,60-64,2021-05-25 19:05:03,926.216666666667
1,65-69,2021-05-25 19:05:03,374.74999999999994
1,70-74,2021-05-25 19:05:03,156.29999999999995
1,75-79,2021-05-25 19:05:03,59.99999999999999
1,80-84,2021-05-25 19:05:03,33.0
1,85-n,2021-05-25 19:05:03,24.99999999999999
2,00-17,2021-05-25 19:05:03,3717.4999999999786
